StartDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q1,Q1_6_TEXT,school_selected,school_other,Q3,Q4,Q4_12_TEXT,Q5,Q5_8_TEXT,Q6,Q7,Q8,Q8_4_TEXT,Q9,Q9_6_TEXT,has_library,Q11,Q13,Q14,Q15,Q16,Q16_3_TEXT,Q17,Q18,Q18_3_TEXT,Q12,Q19,Q20,lantern_group,Q22,Q22_7_TEXT,Q23,Q24,Q24_3_TEXT,Q25,Q25_8_TEXT,Q26,Q27,Q28,Q28_18_TEXT,Q29,Q29_5_TEXT,Q30,menstrual_kit,Q32,Q33,Q33_5_TEXT,Q34,Q34_3_TEXT,Q35,Q35_4_TEXT,has_computers,Q37,Q37_9_TEXT,Q38,Q38_7_TEXT,Q39,Q40,Q40_4_TEXT,Q41,Q41_9_TEXT,Q42,Q43,school_name
2019-03-20 04:06:28,1050,R_bvcabrQP3b89zLh,5.550201416015625,-0.2174072265625,Sarah,NA,Yorogo-Asorogobisi,NA,Female,14,NA,JHS Form 1,NA,No,Never,NA,NA,Other,Never used in this school year,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A - This student is not currently in a lantern group,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Never assigned a group,NA,Yes,No,"Never, I do not have a kit",I do not have a kit,NA,I do not have a kit,NA,Disposable Pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yorogo-Asorogobisi
2019-03-20 04:24:02,1020,R_i8pHkv4dikhbRgO,5.550201416015625,-0.2174072265625,Sarah,NA,Yorogo-Asorogobisi,NA,Male,16,NA,JHS Form 1,NA,No,1-2 times,NA,NA,Difficult to understand,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A - This student is not currently in a lantern group,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Never assigned a group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yorogo-Asorogobisi
2019-03-20 04:41:10,5311,R_8uNHzwIlcxsDYaQ,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,15,NA,JHS Form 1,NA,No,Never,NA,NA,Other,Never used in this school year,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A - This student is not currently in a lantern group,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Never assigned a group,NA,Yes,Yes,Every time I have my period for the entire period,I feel more confident and comfortable when I have my period,NA,"The pads and underwear are difficult to clean,Not enough pads to use during my period",NA,Disposable Pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
2019-03-20 06:09:50,968,R_b68Ha3wtiwI5IHi,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,15,NA,JHS Form 3,NA,Yes,3-4 times,NA,NA,Difficult to understand,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A - This student is not currently in a lantern group,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Never assigned a group,NA,Yes,Yes,Every time I have my period for the entire period,"The training helped me learn more about my body,I feel more confident and comfortable when I have my period",NA,The pads and underwear are difficult to clean,NA,Disposable Pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
2019-03-20 06:26:08,1135,R_2ZEGRpYPTAOiIHv,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,16,NA,JHS Form 3,NA,Yes,3-4 times,NA,NA,Difficult to understand,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A - This student is not currently in a lantern group,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Never assigned a group,NA,Yes,Yes,Every time I have my period for the entire period,"The training helped me learn more about my body,I feel more confident and comfortable when I have my period",NA,The pads and underwear are difficult to clean,NA,Disposable Pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
2019-03-20 06:45:15,999,R_18Ktt3imQgo2DLm,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,16,NA,JHS Form 3,NA,No,Never,NA,NA,Other,Never used in this school year,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,1,NA,Yes,NA,NA,3 x per week,NA,No,"Reading,Homework,Exams,Remembering lessons,Dictation",No Problem,NA,NA,NA,Yes,Yes,Every time I have my period for the entire period,Other,Help to save money in buying disposable pads,The pads and underwear are difficult to clean,NA,Disposable Pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
2019-03-20 07:02:03,984,R_4Gyz790R0dxm1V5,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,13,NA,JHS Form 3,NA,Yes,3-4 times,NA,NA,Difficult to understand,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,3,NA,Yes,NA,NA,5 x per week,NA,No,"Reading,Homework,Exams,Remembering lessons,Dictation",Charging lanterns takes too long,NA,NA,NA,No,No,"Never, I do not have a kit","The training helped me learn more about my body,I feel more confident and comfortable when I have my period",NA,I do not have a kit,NA,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
2019-03-20 07:18:37,1163,R_fPOr9V7nOobiV0J,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,15,NA,JHS Form 2,NA,Yes,1-2 times,NA,NA,Difficult to understand,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2,NA,No,NA,NA,4 x per week,NA,No,"Reading,Homework,Exams,Remembering lessons,Dictation",No Problem,NA,NA,NA,Yes,Yes,Every time I have my period for the entire period,"The training helped me learn more about my body,I feel more confident and comfortable when I have my period",NA,The pads and underwear are difficult to clean,NA,Disposable Pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
2019-03-20 07:38:13,937,R_ntbjw0OcOJJAk9p,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,18,NA,JHS Form 2,NA,Yes,1-2 times,NA,NA,Missing parts,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,N/A - This student is not currently in a lantern group,NA,No,NA,NA,NA,NA,No,NA,NA,NA,Never assigned a group,NA,Yes,Yes,Every time I have my period for the entire period,"The training helped me learn more about my body,I feel more confident and comfortable when I have my period",NA,The pads and underwear are difficult to clean,NA,Disposable Pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
2019-03-20 07:54:03,592,R_ewSYvIaXyYUIdsB,5.550201416015625,-0.2174072265625,Sarah,NA,Nyariga Girls School,NA,Female,16,NA,JHS Form 2,NA,Yes,1-2 times,NA,NA,"Missing parts,Difficult to understand",NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,2,NA,Yes,NA,NA,4 x per week,NA,No,"Reading,Homework,Exams,Remembering lessons,Dictation",No Problem,NA,NA,NA,Yes,Yes,Every time I have my period for the entire period,"The training helped me learn more about my body,I feel more confident and comfortable when I have my period",NA,The pads and underwear are difficult to clean,NA,Disposable Pad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nyariga Girls School
