StartDate,Duration (in seconds),ResponseId,LocationLatitude,LocationLongitude,Q1,Q1_4_TEXT,Q1.5,Q1.5_6_TEXT,school_name,Q2_69_TEXT,Q3,Q3_5_TEXT,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_5_TEXT,Q18_6_TEXT,Q19,Q19_7_TEXT,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31_1,Q31_2,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q39_TEXT,Q40_1,Q81_1,Q81_2,Q81_3,Q38.5,Q38.5_4_TEXT,Q38.5.5,Q38.5.5_4_TEXT,Q79,Q79_3_TEXT,Q41,Q42,Q43,Q80,Q44,Q45,Q82,Q82_13_TEXT,update_date
2018-07-05 22:00:38,NA,NA,NA,NA,George,NA,NA,NA,Mongpong Shai,NA,"Surveyor Team Visit,Other",Give out new tough light,2000,266,15,60,16,NA,59,18,NA,NA,12,0 - This school has a Junior High School,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Lost; 31,1,No groupings yet,No,NA,NA,NA,1-2 times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,2018-07-05
2018-07-05 22:00:41,NA,NA,NA,NA,George,NA,NA,NA,Kurasua #1 MA,NA,Surveyor Team Visit,NA,1200,220,14,77,26,NA,48,11,NA,NA,10,0 - This school has a Junior High School,NA,NA,NA,NA,NA,NA,No,NA,Yes,Broken; 1,42,40,Yes,NA,NA,NA,3 or more times in a term,1- This does not describe our school,1- This does not describe our school,"No, they need a library",Yes,"No, this school needs a toilet","Yes, EPI has helped them get access to clean water","Yes, EPI has built enough classrooms for them to use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,2018-07-05
2018-07-05 22:00:44,NA,NA,NA,NA,George,NA,NA,NA,Nwawasua M/A School,NA,Surveyor Team Visit,NA,2000,465,19,115,16,NA,55,20,NA,NA,16,0 - This school has a Junior High School,NA,NA,NA,NA,NA,NA,No,NA,No,"N/A- No lanterns are being reported lost, stolen, or broken",N/A,23 5 for teachers,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library","No, they need a classroom block or building for their library","Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,2018-07-05
2018-07-11 21:58:47,NA,NA,NA,NA,George,NA,NA,NA,Minya D/A Basic School,NA,"MGR Maintenance,Surveyor Team Visit",NA,600,208,15,53,17,NA,39,5,NA,NA,5,0 - This school has a Junior High School,NA,NA,NA,NA,NA,NA,No,NA,No,"N/A- No lanterns are being reported lost, stolen, or broken",39,38,Yes,NA,NA,NA,Less than 1 time in a term,5- This describes our school,5- This describes our school,"No, they need a library","No, they need a classroom block or building for their library","Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","No, this school needs more classrooms or an upgrade to their current buildings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2018-07-11
2018-07-11 21:59:04,NA,NA,NA,NA,George,NA,NA,NA,Azizakope,NA,"MGR Maintenance,Surveyor Team Visit,Other",Give out new tough light,500,95,5,32,8,NA,N/A,N/A,NA,NA,N/A,1-2 km,NA,NA,NA,NA,NA,NA,No,NA,No,"N/A- No lanterns are being reported lost, stolen, or broken",17,16 one for the headmaster,Yes,NA,NA,NA,3 or more times in a term,3- This describes our school a little bit,5- This describes our school,"No, they need a library","No, they need a classroom block or building for their library","No, this school needs a toilet","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,2018-07-11
2018-07-11 21:59:19,NA,NA,NA,NA,George,NA,NA,NA,Obane,NA,Surveyor Team Visit,NA,550,142,9,60,17,NA,N/A,N/A,NA,NA,N/A,3-5 km,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Stolen; 5,5,5,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",N/A- this school already has a library,"Yes, another organization or the government has given them some","No, this school needs a borehole or other clean water solution","Yes, they already had enough classrooms or another organization has provided them",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,2018-07-11
2018-07-13 23:18:24,NA,NA,NA,NA,Richard,NA,NA,NA,Kpala Private School (IOHCA),NA,Surveyor Team Visit,NA,1700,130,8,130,6,NA,N/A,9,NA,NA,N/A,The closest JHS is greater than 6 km distance from the school,NA,NA,NA,NA,NA,NA,No,NA,Yes,"Lost,Broken",13,"10 lanterns groups,4 teachers do not have",Yes,NA,NA,NA,1-2 times in a term,3- This describes our school a little bit,5- This describes our school,"No, they need a library",Yes,"No, this school needs a toilet","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2018-07-13
2018-07-13 23:18:27,NA,NA,NA,NA,Richard,NA,NA,NA,Kpala Government School,NA,Surveyor Team Visit,NA,1200,153,4,105,13,NA,N/A,N/A,NA,NA,N/A,3-5 km,NA,NA,NA,NA,NA,NA,No,NA,Yes,Broken,1,9 lantern groups 5 teachers,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"No, this school needs a toilet","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe in the future,NA,NA,2018-07-13
2018-07-13 23:18:30,NA,NA,NA,NA,Richard,NA,NA,NA,Kpala Private School (IOHCA),NA,Surveyor Team Visit,NA,1200,130,8,76,N/A,NA,N/A,N/A,NA,NA,N/A,3-5 km,NA,NA,NA,NA,NA,NA,No,NA,Yes,Broken,14,There was a group of 10.,Yes,NA,NA,NA,1-2 times in a term,3- This describes our school a little bit,3- This describes our school a little bit,"No, they need a library","No, they need a classroom block or building for their library","No, this school needs a toilet","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maybe in the future,NA,NA,2018-07-13
2018-07-24 21:03:54,NA,NA,NA,NA,George,NA,NA,NA,Wangarakrom-Tarkuea,NA,MGR Maintenance,NA,2000,240,11,97,31,NA,66,15,NA,NA,6,0 - This school has a Junior High School,NA,NA,NA,NA,NA,NA,"No, but they have poles or power lines",NA,Yes,Broken; 2,2 replaced,25 and 5 used by the teachers,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,2018-07-24
2018-07-24 21:03:56,NA,NA,NA,NA,George,NA,NA,NA,Tuanikope,NA,Routine Program Evaluation,NA,600,64,4,25,6,NA,N/A,N/A,NA,NA,N/A,3-5 km,NA,NA,NA,NA,NA,NA,No,NA,Yes,"Lost,Broken; 7; 18",0,25,No,NA,NA,NA,1-2 times in a term,3- This describes our school a little bit,3- This describes our school a little bit,"No, they need a library",Yes,"No, this school needs a toilet","No, this school needs a borehole or other clean water solution","Yes, they already had enough classrooms or another organization has provided them",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, they do not need anything or they need to work on their lantern program more.",NA,NA,2018-07-24
2024-09-27 14:50:11,NA,R_icRqqm0EvQUwpli,5.964988,-0.17518,Alex,NA,"Richard,Alex,Peace",NA,Attabui,NA,"Routine Program Evaluation,Project Update Visit",NA,500,200,17,64,20,NA,61,20,NA,NA,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","Yes, another organization or the government has given them something to provide clean water","Yes, EPI has built enough classrooms for them to use",Yes,NA,Yes,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,13/09/2024,NA,Yes,Yes,NA,NA,2024-09-27
2024-09-27 14:50:11,NA,R_7TSINrHCRwUXSay,6.050893,0.258316,Richard,NA,"Richard,Alex,Peace",NA,Nyapienya,NA,"Routine Program Evaluation,Project Update Visit",NA,1500,190,10,31,15,NA,31,6,NA,NA,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,No,NA,11,11,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, EPI has helped build some","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-09-27
2024-09-27 14:50:11,NA,R_mnDj8BSBiLsgVpU,5.862975,0.032101,Richard,NA,"Richard,Alex,Peace",NA,Dedenya,NA,"Routine Program Evaluation,Project Update Visit",NA,4000,478,16,159,57,NA,165,42,NA,NA,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, EPI has helped build some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-09-27
2024-09-27 14:50:11,NA,R_dgGctVWHsFyV9fB,5.92466,-0.24971,Alex,NA,"Richard,Alex,Peace",NA,Akwansu,NA,"Routine Program Evaluation,Project Update Visit",NA,NA,230,14,73,23,NA,53,14,NA,NA,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,10,10,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library",Yes,"Yes, another organization or the government has given them some","Yes, EPI has helped them get access to clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-09-27
2024-09-27 14:50:11,NA,R_ovbc1KEF1NmDbeg,5.897906,-0.27629,Alex,NA,"Richard,Alex",NA,Obosonu,NA,"Routine Program Evaluation,Project Update Visit",NA,1000,252,9,71,22,NA,61,23,NA,NA,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,21,21,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, EPI has helped build some","Yes, another organization or the government has given them something to provide clean water","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,Yes,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,04/06/2024,NA,Yes,Yes,NA,NA,2024-09-27
2024-09-27 14:50:11,NA,R_anCcUs7NlD9AK3o,5.965089,-0.17518,Richard,NA,"Richard,Alex,Peace",NA,Adenya,NA,"Routine Program Evaluation,Project Update Visit",NA,300,75,8,20,16,NA,24,16,NA,NA,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,7,7,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"Yes, another organization or the government has given them some","No, this school needs a borehole or other clean water solution","Yes, they already had enough classrooms or another organization has provided them",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-09-27
2024-09-27 14:50:11,NA,R_ghFgQEbonNV6CkA,5.842793,0.029753,Richard,NA,"Richard,Alex,Peace",NA,Mampong Shai,NA,"Routine Program Evaluation,Project Update Visit",NA,NA,400,14,134,28,NA,102,40,NA,NA,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"Yes, EPI has given them a library",NA,"No, this school needs a toilet","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-09-27
2024-09-27 14:50:12,NA,R_0Q4W6W2yFx1xZ43,5.894279,-0.25132,Alex,NA,"Richard,Peace",NA,Anamenampa,NA,"Routine Program Evaluation,Project Update Visit",NA,500,130,14,38,10,NA,29,7,NA,NA,N/A,NA,NA,It works perfectly,NA,NA,NA,NA,No,NA,No,NA,22,22,Yes,NA,NA,NA,3 or more times in a term,5- This describes our school,5- This describes our school,"No, they need a library","No, they need a classroom block or building for their library","No, this school needs a toilet","No, this school needs a borehole or other clean water solution","No, this school needs more classrooms or an upgrade to their current buildings",Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,2024-09-27
