School Name,Region,EPI Start Year,Latitude,Longitude,MGR,Non-Generating MGR,Feminine Hygiene Kits,Science Kits,Library,Computer,Construction Projects,Boreholes,Solar Power,Biofill Toilets,Light a Village,Starlink,7/17/2026,6/18/2026
Nyapienya,Greater Accra,2015,6.024719,0.259324,1,0,1,1,1,0,1,0,0,1,0,0,0,NA
Obani,Greater Accra,2010,5.802072,0.595901,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Obelemanya,Eastern,2018,6.301957,-0.028104,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Obosonu,Eastern,2017,5.897846,-0.276222,1,0,1,1,0,1,0,1,0,0,0,0,0,NA
Old Konkompe,Bono East,2014,7.661959,-0.98914,1,0,1,1,0,0,1,0,0,1,0,0,0,NA
Oyoko,Eastern,2025,6.13857,-0.290613,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
Paynesville Community (Liberia),NA,2025,6.2681875,-10.6945625,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
Pediatorkope,Greater Accra,2009,5.819813,0.628755,1,0,1,1,0,1,1,0,1,0,0,1,1,NA
Salam Islamic (Sierra Leone),NA,2026,8.386937,-13.15195,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
Terhey,Greater Accra,2010,6.003635,0.423684,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Torjeh,Greater Accra,2010,5.947827305,0.501367145,1,0,0,1,0,0,0,0,0,0,0,0,0,NA
Tsledom,Eastern,2021,6.21754801,-0.008548714,1,0,1,1,0,0,1,0,0,0,0,0,0,NA
Tuanikope,Greater Accra,2011,5.833265,0.647715,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Tun Tun,Greater Accra,2016,6.372092,-1.063541,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Wangarakrom,Western,2010,5.299536,-2.071712,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Watro (Watroso),Bono East,2013,7.627735,-0.970724,1,0,1,1,0,0,1,1,0,1,0,0,0,NA
Wekpeti Abresu,Eastern,2012,6.309288,-0.671626,1,0,1,1,1,0,0,0,0,0,0,0,0,NA
Wenamda,Ashanti,2019,6.990137,-1.099137,1,0,1,1,1,0,0,0,0,0,0,0,0,NA
Wurudu Wurudu,Eastern,2016,5.902147,-0.520959,1,0,1,1,0,1,1,1,0,1,0,0,1,NA
Yonguase,Eastern,2017,6.231239,-0.057362,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
Yorogo-Asorogobisi,Upper East,2011,10.857724,-0.83599,1,0,1,1,0,0,0,1,0,0,0,0,0,NA
Zippo Nyuinyui,Eastern,2019,7.05859,0.120049,1,0,1,1,0,0,0,0,0,0,0,0,0,NA
